has_webRequest,has_all_urls,has_cookies,has_clipboardRead,has_nativeMessaging,has_tabs,has_history,has_downloads,has_storage,has_background_script,has_content_scripts,host_permission_count,total_permission_count,content_script_entropy,has_webRequestBlocking,has_scripting,has_management,has_webNavigation,has_contextMenus,has_proxy,has_declarativeNetRequest,web_accessible_resources,eval_count,atob_count,function_ctor_count,xhr_fetch_count,websocket_count,exec_script_count,keydown_listener,cookie_in_code,long_string_count,hex_escape_count,external_url_count,label
NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,0,1,5.05,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,0,0,1,NO,0,0,0,0,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,0,0,5.37,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,0,0,0,YES,0,0,0,15,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,0,4,5.62,NO,NO,NO,NO,YES,NO,NO,NO,0,0,0,0,0,0,NO,0,0,0,4,BENIGN
YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,0,5,4.91,YES,NO,NO,NO,NO,NO,NO,NO,0,0,0,4,0,0,NO,0,0,0,5,BENIGN
NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,NO,0,10,5.43,NO,NO,NO,NO,YES,NO,NO,YES,0,0,3,0,0,0,NO,0,0,0,7,BENIGN
NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO,0,3,5.4,NO,NO,NO,NO,NO,NO,NO,NO,0,0,2,0,0,0,NO,0,0,0,6,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,0,2,4.99,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,2,0,0,NO,0,0,0,7,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,0,2,5.41,NO,NO,NO,NO,NO,NO,NO,NO,0,1,0,1,0,0,NO,0,0,0,1,BENIGN
NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,NO,0,3,5.13,NO,NO,NO,NO,YES,NO,NO,NO,0,0,0,0,0,0,NO,0,0,0,9,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,0,6,5.37,NO,NO,NO,NO,NO,NO,NO,YES,0,0,2,2,0,0,YES,0,0,0,15,BENIGN
NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES,0,3,5.32,NO,NO,NO,NO,NO,NO,NO,NO,0,1,1,17,1,0,NO,0,0,0,13,BENIGN
NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,0,3,5.2,NO,NO,NO,NO,NO,NO,NO,YES,1,0,5,2,0,0,NO,0,0,1,10,BENIGN
YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,0,4,5.29,YES,NO,NO,NO,NO,NO,NO,NO,0,0,1,0,0,0,YES,2,0,0,6,BENIGN
NO,YES,YES,NO,NO,NO,NO,NO,YES,YES,NO,0,7,5.43,NO,NO,NO,NO,NO,NO,NO,NO,0,1,0,0,1,3,YES,0,0,0,4,BENIGN
NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,NO,0,5,4.93,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,0,0,0,NO,0,2,0,5,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,0,3,5.36,NO,NO,NO,NO,NO,NO,NO,YES,0,0,2,2,0,0,YES,0,0,0,15,BENIGN
NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,NO,0,4,5.17,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,2,0,8,YES,0,1,0,1,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,0,3,5.46,NO,NO,NO,NO,YES,NO,NO,YES,0,0,0,0,0,2,YES,0,0,4,2,BENIGN
YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,0,4,5.44,YES,NO,NO,NO,NO,NO,NO,YES,0,0,0,2,0,0,NO,0,0,0,3,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0,0,4.93,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,0,0,0,YES,0,0,0,0,BENIGN
YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,0,4,5.99,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,2,0,0,NO,0,2,0,2,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,0,4,4.8,NO,NO,NO,NO,YES,NO,NO,NO,0,0,0,0,0,2,NO,0,0,0,3,BENIGN
NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,YES,0,6,4.99,NO,NO,NO,NO,YES,NO,NO,YES,0,0,0,1,0,2,NO,0,0,0,21,BENIGN
NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,0,0,5.22,NO,NO,NO,NO,NO,NO,NO,NO,0,0,1,0,1,0,NO,0,0,0,0,BENIGN
NO,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,0,6,5.3,NO,NO,NO,NO,YES,NO,NO,YES,0,0,0,0,0,1,YES,0,0,0,2,BENIGN
YES,NO,YES,NO,NO,YES,NO,NO,YES,YES,YES,0,9,5.29,YES,NO,NO,NO,NO,NO,NO,NO,3,0,1,156,0,2,NO,3,0,0,111,BENIGN
NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,0,3,5.37,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,0,0,0,YES,0,0,0,0,BENIGN
