ext_id,name,reason,ok,error,size,perms,host_perms,js_len,has_signal,eval_count,atob_count
pchihafibjagjbngeaoafjhgodhjcpdg,???? ??? – ?????? ?????????? ? ?????? ??? ??????????,Malware,False,Empty response for extension pchihafibjagjbngeaoafjhgodhjcpd,0,0,0,0,False,0,0
peddeomechmgiecnjdpcemhhfjinmfma,???? VPN — ??????? browser proxy ? ???????? ????????,Malware,False,Empty response for extension peddeomechmgiecnjdpcemhhfjinmfm,0,0,0,0,False,0,0
pbgjdamhdpmckbmjgiomfajmpplpphbg,????? ??? - ???????? ??? ??????? ???????????,Malware,False,Empty response for extension pbgjdamhdpmckbmjgiomfajmpplpphb,0,0,0,0,False,0,0
pbilnkjifcnkmohmoocnmgedmoicbhdb,??? VPN – ?????????? proxy ??? ???????? ?????????,Malware,False,Empty response for extension pbilnkjifcnkmohmoocnmgedmoicbhd,0,0,0,0,False,0,0
olpnmdlkdcnfhpacghfpoejjipfhgafd,?????? VPN,Malware,False,Empty response for extension olpnmdlkdcnfhpacghfpoejjipfhgaf,0,0,0,0,False,0,0
ongpkjhceledajkpgofndodgljncooee,?????? VPN,Malware,False,Empty response for extension ongpkjhceledajkpgofndodgljncooe,0,0,0,0,False,0,0
flajofocffjkodopeacjapoldohhoehd,Crm Telera,Malware,True,,4306763,4,0.0,300008,True,0.0,0.0
omdofljbedlmmgcoakijnkhmociclpdg,Morty VPN,Malware,False,Empty response for extension omdofljbedlmmgcoakijnkhmociclpd,0,0,0,0,False,0,0
olmfkhpchghnicflnokkdgjbkoekdlpp,????????????? VPN,Malware,False,Empty response for extension olmfkhpchghnicflnokkdgjbkoekdlp,0,0,0,0,False,0,0
ofmmaencdddeamhfkapmeeioldjghbme,NordVPN,Malware,False,Empty response for extension ofmmaencdddeamhfkapmeeioldjghbm,0,0,0,0,False,0,0
olificjbgcblaccfpecbikikodailhnb,??? ??????? VPN,Malware,False,Empty response for extension olificjbgcblaccfpecbikikodailhn,0,0,0,0,False,0,0
oemgiiembgiagnfkilidcnchjggkhbhc,Star VPN – ??????? proxy-?????? ?? ???????? ????????,Malware,False,Empty response for extension oemgiiembgiagnfkilidcnchjggkhbh,0,0,0,0,False,0,0
obhehjaahgjbbndbnoolggmhbbnpflci,????????????? VPN,Malware,False,Empty response for extension obhehjaahgjbbndbnoolggmhbbnpflc,0,0,0,0,False,0,0
oelamlcopjpneffpcbjcfjccmognfgnn,Avo VPN – ?????? proxy-?????? ??? ?????? ?????????,Malware,False,Empty response for extension oelamlcopjpneffpcbjcfjccmognfgn,0,0,0,0,False,0,0
nnkhciemkanaeldfbhndkjmgeednoknj,PLANET VPN - ?????????? VPN ??? Chrome,Malware,False,Empty response for extension nnkhciemkanaeldfbhndkjmgeednokn,0,0,0,0,False,0,0
hcbmhiibnoenkpgmihciloccgpmjaieb,Uai Leads,Malware,True,,5348450,4,0.0,300008,True,0.0,0.0
njbhegmhdkdegfglocmjeofabkfkkamj,?????? VPN,Malware,False,Empty response for extension njbhegmhdkdegfglocmjeofabkfkkam,0,0,0,0,False,0,0
hpfmfjmhhkfpcedjikogphkfacokfagh,Agência Do Vale,Malware,True,,5581508,4,1.0,300024,True,0.0,0.0
ndedlnnpffmfchjaaacgkfelhfkgdeoa,SpiderTun,Malware,False,Empty response for extension ndedlnnpffmfchjaaacgkfelhfkgdeo,0,0,0,0,False,0,0
ncccgijkplpbkpbmmamglmedcdfaakll,Zoog VPN,Malware,False,Empty response for extension ncccgijkplpbkpbmmamglmedcdfaakl,0,0,0,0,False,0,0
mjknledghmdmojakkfobpniimpheifbn,???? ???? VPN,Malware,False,Empty response for extension mjknledghmdmojakkfobpniimpheifb,0,0,0,0,False,0,0
mncknaoikooepmbmmonahfieihigmhci,?????? VPN,Malware,False,Empty response for extension mncknaoikooepmbmmonahfieihigmhc,0,0,0,0,False,0,0
mljfcnpknpikegpnmfmdfejcgbmgdkpm,???? VPN,Malware,False,Empty response for extension mljfcnpknpikegpnmfmdfejcgbmgdkp,0,0,0,0,False,0,0
mnbadjkghfaggpknloglabfdbhnlholk,?????? VPN,Malware,False,Empty response for extension mnbadjkghfaggpknloglabfdbhnlhol,0,0,0,0,False,0,0
mjfpkadlbejfhgoakhdlcceaakcchpjb,???? VPN,Malware,False,Empty response for extension mjfpkadlbejfhgoakhdlcceaakcchpj,0,0,0,0,False,0,0
melcllbcepoakpgccapphgiilfefclfp,?????? VPN,Malware,False,Empty response for extension melcllbcepoakpgccapphgiilfefclf,0,0,0,0,False,0,0
mfiiihgjbjgbiadmpfcbdgdgfcghfhah,Plague Net,Malware,False,Empty response for extension mfiiihgjbjgbiadmpfcbdgdgfcghfha,0,0,0,0,False,0,0
njmdodlbgdmkbohhamcpjfkmkognedbb,Wazio,Malware,True,,5624968,4,1.0,300024,True,0.0,0.0
