L1,L2,L3,L4,L5,L6,label
0.9963,0.7954,0.0,0.0,0.0,1.0,1
0.4,0.8079,0.9062,0.0,0.0,1.0,1
0.4,0.1046,0.0,0.0,0.0,1.0,0
0.2904,0.3525,0.9062,0.0,0.0,1.0,0
0.6432,0.9457,0.9062,0.0,0.0,1.0,1
0.1619,0.085,0.9062,0.0,0.0,1.0,0
0.6432,0.2306,0.9062,0.0,0.0,1.0,0
0.65,0.1103,0.0,0.0,0.0,1.0,0
0.2,0.2961,0.0,0.5,0.0,1.0,0
0.9998,0.2284,0.0,0.85,0.0,1.0,1
0.4,0.7732,0.9062,0.0,0.0,1.0,1
0.1865,0.0266,0.0,0.0,0.0,1.0,0
0.4976,0.0274,0.9062,0.0,0.0,1.0,0
0.0062,0.0452,0.0,0.0,0.0,1.0,0
0.5641,0.2055,0.9062,0.0,0.0,1.0,0
0.9447,0.998,0.9062,0.0,0.0,1.0,1
0.966,0.7813,0.0,0.0,0.0,1.0,1
0.975,0.9997,0.0,0.0,0.0,1.0,1
0.1863,0.641,0.0,0.0,0.0,1.0,0
0.9541,0.9629,0.9062,0.0,0.0,1.0,1
0.6432,0.5932,0.9062,0.0,0.0,1.0,1
0.4268,0.708,0.9062,0.0,0.0,1.0,0
0.211,0.1904,0.0,0.0,0.0,1.0,0
0.6432,0.9275,0.0,0.0,0.0,1.0,1
0.3287,0.3976,0.9062,0.0,0.0,1.0,0
0.35,0.0258,0.9062,0.0,0.0,1.0,0
0.764,0.2105,0.9062,0.0,0.0,1.0,0
0.9934,0.9978,0.0,0.0,0.0,1.0,1
0.2491,0.1614,0.9062,0.0,0.0,1.0,0
0.6217,0.8072,0.9062,0.0,0.0,1.0,1
0.7787,0.9669,0.0,0.0,0.0,1.0,1
0.6432,0.6093,0.9062,0.0,0.0,1.0,1
0.6432,0.0981,0.9062,0.0,0.0,1.0,0
0.9233,0.9791,0.0,0.0,0.0,1.0,1
0.6432,0.7166,0.9062,0.0,0.0,1.0,1
0.6432,0.7633,0.0,0.0,0.0,0.0,1
0.0594,0.4113,0.9062,0.0,0.0,0.2,0
0.478,0.1995,0.9062,0.0,0.0,0.65,0
0.85,0.031,0.9062,0.0,0.0,0.65,0
0.0207,0.3697,0.0,0.0,0.0,0.65,0
0.1177,0.8324,0.0,0.0,0.0,0.0,0
0.764,0.0859,0.9062,0.0,0.0,0.0,0
0.8913,0.9915,0.0,0.0,0.0,0.0,1
0.764,0.5888,0.0,0.0,0.0,0.0,1
0.358,0.1442,0.0,0.0,0.0,0.0,0
0.8539,0.1904,0.9062,0.0,0.0,0.0,1
0.5641,0.8233,0.9062,0.0,0.0,0.0,1
0.0002,0.1047,0.0,0.0,0.0,0.0,0
0.9993,0.177,0.0,0.0,0.0,0.0,1
0.9948,0.5044,0.0,0.0,0.0,0.0,1
0.9998,0.7841,0.0,0.0,0.0,0.0,1
0.9995,0.9479,0.0,0.0,0.0,0.0,1
0.009,0.1106,0.0,0.0,0.0,0.2,0
0.0674,0.3385,0.9062,0.0,0.0,0.2,0
0.129,0.263,0.9062,0.0,0.0,0.2,0
0.9934,0.7713,0.0,0.0,0.0,0.2,1
0.6432,0.5442,0.0,0.0,0.0,0.2,0
0.011,0.9992,0.9062,0.0,0.0,0.2,1
0.6432,0.4924,0.0,0.0,0.0,0.2,0
0.2594,0.9941,0.0,0.0,0.0,0.2,1
0.8665,0.5215,0.0,0.0,0.0,0.2,1
0.5205,0.2105,0.0,0.0,0.0,0.2,0
