n_iframes,has_fixed_iframe,max_zindex,full_viewport,drag_prevent,n_forms,n_inputs,n_pw_inputs,n_hidden_inputs,n_ext_scripts,form_ext_action,title_brand,favicon_brand,has_overlay,has_redirect,html_size_kb,label
1,0,0,0,0,1,3,0,0,1,0,0,0,0,1,51,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,1,2,0,1,7,0,0,0,1,1,40,0
0,0,0,0,0,1,4,0,3,3,0,0,0,0,0,59,0
0,0,0,0,0,1,18,0,11,0,0,0,0,0,0,11,1
0,0,0,0,0,3,97,0,88,14,0,0,0,1,0,75,0
0,0,0,0,0,1,3,0,2,12,0,0,0,0,0,55,0
1,1,0,0,0,0,1,0,0,9,0,0,0,1,1,543,0
5,0,0,1,0,1,3,0,2,13,0,0,0,0,0,121,0
1,0,0,0,0,2,12,0,10,2,0,0,1,0,0,159,0
0,0,0,0,0,1,7,0,1,0,0,0,1,0,0,233,0
0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,4,1
0,0,0,0,0,1,7,0,1,0,0,0,0,0,0,107,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
18,0,1,0,0,7,8,1,0,3,1,0,1,1,1,392,1
0,0,0,0,0,2,13,0,6,31,0,0,0,1,0,359,0
0,0,0,0,0,1,7,0,1,0,0,0,1,0,0,237,0
1,0,0,0,0,2,6,1,2,5,0,0,0,1,1,78,0
0,0,9999,1,0,1,5,1,0,0,0,0,0,0,0,15,1
0,0,9999,1,1,0,2,0,0,5,0,0,0,1,1,203,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,11,1
0,0,7,1,0,1,3,1,0,0,0,0,0,0,0,44,1
1,0,3,0,0,3,8,0,6,13,0,0,0,0,1,328,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,6,13,0,1,2,0,0,0,0,0,34,0
0,0,0,0,0,1,2,1,0,2,0,0,0,1,1,15,1
0,0,2,1,0,0,3,1,0,6,0,0,0,0,1,28,1
2,0,0,0,0,2,12,0,7,1,0,1,0,0,0,162,0
0,0,50,1,1,0,3,3,0,1,0,0,0,1,1,1005,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,45,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,3,19,0,5,8,0,0,1,1,0,155,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,136,0
1,0,0,0,0,1,2,0,1,18,0,0,0,1,0,196,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,1
1,1,9999,1,0,1,3,0,2,0,0,0,0,1,1,46,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1
1,0,9999,0,0,1,7,0,4,1,0,0,0,0,1,121,0
0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0
0,0,0,0,0,4,13,1,3,20,0,1,0,1,1,65,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2,0,9999,0,0,3,7,1,2,1,0,0,0,1,1,115,0
0,0,0,0,0,2,5,1,0,1,1,0,0,0,0,73,1
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,16,0
1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,19,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
0,0,0,0,0,1,5,2,3,0,0,0,0,0,0,7,1
0,0,900,1,0,1,2,0,0,3,0,0,0,1,0,64,1
0,0,0,0,0,1,11,0,10,0,0,0,0,0,0,97,0
1,0,0,0,0,5,6,0,5,6,0,0,0,1,1,41,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0
0,0,0,0,0,1,10,1,4,7,0,0,0,0,1,17,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0
0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,20,0
0,0,0,0,0,1,4,0,4,0,0,0,0,0,0,12,0
0,0,0,0,0,2,8,0,2,3,0,0,0,0,0,58,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
0,0,9999,1,1,0,0,0,0,2,0,0,0,1,0,80,1
1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,46,0
0,0,0,0,0,7,13,0,6,2,1,0,0,1,1,179,0
0,0,0,0,0,2,14,0,7,6,0,0,0,1,1,168,0
16,0,0,0,0,5,23,3,7,4,0,0,0,1,0,67,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,1
5,0,9,0,0,7,113,0,68,40,0,0,0,1,0,337,0
1,0,0,0,0,17,17,0,16,0,0,0,0,1,0,392,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0,9999,1,0,0,1,0,1,2,0,0,0,1,1,96,0
0,0,9999,1,0,0,2,0,0,28,0,0,0,0,0,252,0
